                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5163,                 1.2852,                 1.5043,                0.80946,                0.77711,                0.79845,                0.52408,                 1.2093,                 1.6161,                 1.3346,             0.00054023,             0.00054023,             0.00054023
                      2,                0.95974,                0.66155,                 1.1291,                0.74511,                0.69671,                0.75248,                0.50112,                  1.223,                 1.1212,                 1.3398,              0.0010923,              0.0010923,              0.0010923
                      3,                0.89352,                0.62228,                 1.0968,                0.71345,                0.60478,                0.68919,                0.48914,                 1.0877,                 1.3459,                 1.2744,              0.0016407,              0.0016407,              0.0016407
                      4,                0.82896,                0.57088,                 1.0689,                0.87849,                0.80869,                0.85905,                0.63177,                0.98627,                0.75951,                 1.2308,              0.0016505,              0.0016505,              0.0016505
                      5,                0.80576,                0.54208,                 1.0635,                0.92532,                0.83663,                0.91191,                0.68376,                0.91211,                0.62518,                 1.2272,               0.001645,               0.001645,               0.001645
                      6,                0.73274,                 0.5063,                 1.0291,                0.93182,                0.82889,                0.91637,                0.71511,                0.86584,                0.55755,                 1.1705,              0.0016395,              0.0016395,              0.0016395
                      7,                0.75437,                0.50099,                 1.0419,                0.91892,                0.84409,                 0.9135,                0.72292,                0.87275,                0.62832,                 1.1865,               0.001634,               0.001634,               0.001634
                      8,                0.70606,                0.46844,                 1.0205,                0.93274,                0.86979,                  0.925,                0.71935,                 0.8665,                 0.5718,                 1.1708,              0.0016285,              0.0016285,              0.0016285
                      9,                0.71139,                0.47657,                 1.0263,                0.92685,                0.88201,                0.92536,                0.74104,                0.83918,                 0.5619,                 1.1344,               0.001623,               0.001623,               0.001623
                     10,                0.68339,                 0.4544,                 1.0147,                0.92102,                0.89216,                0.93412,                0.74744,                 0.7826,                0.55663,                 1.1622,              0.0016175,              0.0016175,              0.0016175
                     11,                0.72283,                0.47599,                 1.0354,                0.93457,                0.88309,                0.93857,                0.74406,                0.84008,                0.55435,                 1.1457,               0.001612,               0.001612,               0.001612
                     12,                0.66245,                0.44935,                  1.009,                0.91534,                   0.87,                0.92772,                0.76025,                 0.8089,                0.50591,                 1.1435,              0.0016065,              0.0016065,              0.0016065
                     13,                0.61137,                  0.414,                0.99011,                 0.9378,                0.91332,                0.95077,                0.78718,                0.74478,                0.43555,                 1.1206,               0.001601,               0.001601,               0.001601
                     14,                0.66734,                0.43266,                 1.0081,                 0.9376,                0.89987,                 0.9479,                0.74378,                0.84656,                0.49265,                 1.1398,              0.0015955,              0.0015955,              0.0015955
                     15,                0.63894,                 0.4191,                 0.9972,                 0.9445,                0.91798,                0.95618,                0.78821,                0.74714,                0.46211,                 1.1194,                0.00159,                0.00159,                0.00159
                     16,                  0.637,                0.41256,                0.98844,                0.94632,                0.90592,                0.94912,                0.77379,                0.76484,                  0.464,                 1.1184,              0.0015845,              0.0015845,              0.0015845
                     17,                0.61699,                 0.4068,                0.98059,                0.95041,                 0.9009,                0.95031,                0.79157,                0.74864,                0.41403,                 1.1298,               0.001579,               0.001579,               0.001579
                     18,                0.61919,                0.40161,                0.98473,                0.92348,                0.90978,                0.94476,                  0.768,                0.74776,                0.47049,                 1.1048,              0.0015735,              0.0015735,              0.0015735
                     19,                0.60192,                0.39087,                0.97615,                0.93835,                0.91515,                0.94982,                0.78912,                0.73699,                0.42652,                 1.1147,               0.001568,               0.001568,               0.001568
